Epoch,test_acc1,test_acc2,test_acc3,test_acc4,test_acc5
1,0.1927,0.1822,0.1931,0.1837,0.1871
2,0.2972,0.3214,0.2789,0.2808,0.3061
3,0.4003,0.4089,0.4021,0.3983,0.3907
4,0.4639,0.4197,0.4429,0.422,0.4278
5,0.4907,0.4895,0.4806,0.4619,0.4872
6,0.4977,0.4787,0.4899,0.4744,0.466
7,0.5062,0.4793,0.4914,0.493,0.4806
8,0.4885,0.4969,0.4858,0.5143,0.5082
9,0.4935,0.492,0.4976,0.4983,0.4956
10,0.505,0.4761,0.5007,0.4923,0.4971
11,0.4641,0.4891,0.506,0.4769,0.5064
12,0.5105,0.4706,0.4927,0.4956,0.4917
13,0.4825,0.4768,0.5188,0.4791,0.5194
14,0.4452,0.4987,0.502,0.4924,0.481
15,0.4732,0.4968,0.4863,0.4518,0.4581
16,0.4513,0.4738,0.4516,0.4832,0.4796
17,0.485,0.4779,0.496,0.4987,0.5075
18,0.4889,0.4691,0.4814,0.4598,0.4802
19,0.4738,0.478,0.5032,0.4748,0.5189
20,0.4489,0.4964,0.4872,0.4729,0.4654
21,0.4768,0.4667,0.4864,0.4668,0.4739
22,0.4869,0.4692,0.4816,0.4735,0.4859
23,0.507,0.5015,0.4747,0.4724,0.5119
24,0.4769,0.5028,0.4867,0.4234,0.4863
25,0.4711,0.4452,0.4514,0.4555,0.4795
26,0.494,0.4766,0.4801,0.467,0.5071
27,0.4826,0.4803,0.4796,0.4921,0.4814
28,0.4886,0.4812,0.4876,0.4981,0.4734
29,0.4894,0.4855,0.4668,0.4806,0.4902
30,0.481,0.475,0.4723,0.4687,0.5036
31,0.4712,0.4661,0.4828,0.4215,0.4675
32,0.4913,0.457,0.4907,0.4908,0.4821
33,0.4666,0.4427,0.4758,0.443,0.4493
34,0.4682,0.4729,0.4794,0.4867,0.4944
35,0.4884,0.5002,0.471,0.4926,0.4542
36,0.4685,0.4786,0.4901,0.4582,0.4741
37,0.4731,0.4806,0.4675,0.4802,0.4548
38,0.4816,0.4823,0.4766,0.4766,0.4904
39,0.4828,0.4926,0.4826,0.4588,0.4775
40,0.4649,0.4591,0.4881,0.4685,0.475
41,0.4894,0.4713,0.4886,0.4779,0.4944
42,0.4808,0.4803,0.4854,0.4947,0.4881
43,0.4783,0.4633,0.4859,0.4685,0.4968
44,0.4809,0.4836,0.4748,0.4963,0.4984
45,0.4856,0.4531,0.4728,0.4734,0.474
46,0.4882,0.469,0.4806,0.46,0.4865
47,0.4645,0.4748,0.4855,0.4419,0.4775
48,0.4894,0.4689,0.4644,0.4896,0.4603
49,0.4862,0.4936,0.4816,0.5006,0.4628
50,0.4711,0.4709,0.4616,0.4754,0.46
51,0.4731,0.4758,0.4679,0.4646,0.4787
52,0.4952,0.4742,0.4803,0.4723,0.4643
53,0.4741,0.4871,0.4671,0.4903,0.4698
54,0.4838,0.4785,0.4474,0.4851,0.469
55,0.4894,0.4957,0.4729,0.477,0.4709
56,0.4757,0.5037,0.4606,0.4878,0.484
57,0.484,0.4942,0.4842,0.4724,0.4856
58,0.5024,0.4813,0.4823,0.4825,0.4668
59,0.4147,0.4918,0.4944,0.4725,0.4849
60,0.4541,0.4649,0.4587,0.442,0.4732
61,0.6075,0.614,0.608,0.6112,0.6142
62,0.6161,0.6195,0.6129,0.6202,0.6177
63,0.6173,0.6221,0.6159,0.619,0.6178
64,0.6176,0.624,0.6185,0.6213,0.6233
65,0.6206,0.6257,0.6196,0.6225,0.6235
66,0.622,0.6242,0.622,0.6225,0.6251
67,0.6226,0.6259,0.622,0.6235,0.6253
68,0.624,0.6292,0.6185,0.6228,0.6269
69,0.6246,0.6282,0.6223,0.6228,0.6274
70,0.6258,0.6279,0.6226,0.6232,0.6286
71,0.6257,0.6279,0.6225,0.6245,0.6272
72,0.6258,0.6269,0.6235,0.6247,0.6285
73,0.6274,0.6266,0.6228,0.6276,0.6313
74,0.6285,0.6285,0.6211,0.625,0.6312
75,0.6247,0.6296,0.6209,0.6257,0.6293
76,0.6269,0.6304,0.619,0.6246,0.6306
77,0.6273,0.63,0.6206,0.6263,0.6321
78,0.6277,0.6296,0.6226,0.6241,0.6311
79,0.6276,0.6295,0.6198,0.6228,0.6292
80,0.6275,0.6273,0.621,0.6245,0.6315
81,0.6293,0.6272,0.6194,0.6255,0.6319
82,0.6254,0.6285,0.6231,0.6234,0.6327
83,0.6268,0.6286,0.6227,0.6217,0.6332
84,0.626,0.6298,0.6247,0.6201,0.6297
85,0.6259,0.6278,0.6235,0.6232,0.6316
86,0.628,0.6269,0.6222,0.6213,0.6322
87,0.625,0.63,0.6216,0.6192,0.6302
88,0.6258,0.627,0.6243,0.6215,0.6287
89,0.6252,0.6273,0.6224,0.6196,0.6328
90,0.6249,0.6283,0.6103,0.6189,0.6321
91,0.6244,0.6276,0.5642,0.6165,0.6341
92,0.6217,0.6188,0.4559,0.6162,0.6062
93,0.5268,0.6217,0.5062,0.6168,0.4987
94,0.5074,0.4973,0.5579,0.6148,0.4997
95,0.5311,0.5193,0.5845,0.4291,0.5717
96,0.5753,0.5557,0.6121,0.5275,0.5912
97,0.6075,0.5884,0.6184,0.559,0.6146
98,0.6263,0.6053,0.6255,0.5869,0.6321
99,0.6309,0.6176,0.6235,0.6143,0.633
100,0.6322,0.6247,0.6256,0.621,0.6347
101,0.6306,0.6273,0.6268,0.6301,0.6367
102,0.6341,0.6304,0.6287,0.629,0.6389
103,0.6335,0.631,0.6281,0.6316,0.6369
104,0.6342,0.6306,0.6259,0.6325,0.6375
105,0.6379,0.6295,0.6273,0.6314,0.6339
106,0.6329,0.6302,0.626,0.6329,0.6376
107,0.6356,0.6281,0.6265,0.6334,0.636
108,0.6352,0.6314,0.6278,0.6334,0.6352
109,0.631,0.6303,0.6246,0.6343,0.6367
110,0.6338,0.6314,0.6278,0.6323,0.6351
111,0.6231,0.6289,0.6214,0.6319,0.6305
112,0.6265,0.6302,0.6092,0.634,0.6208
113,0.6263,0.629,0.6199,0.5981,0.6269
114,0.6192,0.5695,0.4113,0.4623,0.6237
115,0.5986,0.5073,0.4947,0.5239,0.4127
116,0.6181,0.5234,0.5459,0.5614,0.5192
117,0.6307,0.5508,0.5636,0.5882,0.5431
118,0.5753,0.5763,0.5933,0.617,0.5611
119,0.5921,0.6071,0.609,0.6226,0.58
120,0.6131,0.626,0.6214,0.6324,0.613
121,0.6235,0.6293,0.6258,0.6335,0.6261
122,0.6241,0.6291,0.6236,0.6347,0.6286
123,0.6256,0.6279,0.6246,0.6361,0.6301
124,0.6273,0.6293,0.6253,0.6373,0.6276
125,0.6277,0.6277,0.6259,0.6389,0.6301
126,0.628,0.6285,0.6247,0.6387,0.6309
127,0.6284,0.6296,0.626,0.6369,0.6303
128,0.6286,0.6287,0.6261,0.6377,0.6327
129,0.6314,0.6305,0.6278,0.6379,0.6327
130,0.6294,0.6307,0.6261,0.6395,0.6304
131,0.6308,0.6315,0.6287,0.6386,0.6315
132,0.6317,0.6324,0.6273,0.641,0.6323
133,0.6302,0.6331,0.6289,0.6392,0.6341
134,0.6312,0.6309,0.6282,0.6406,0.6338
135,0.6304,0.6311,0.6278,0.6386,0.6339
136,0.6327,0.6303,0.6276,0.6403,0.6344
137,0.6315,0.6304,0.6289,0.6393,0.6335
138,0.6326,0.6329,0.6299,0.64,0.6349
139,0.6317,0.6332,0.629,0.6394,0.6357
140,0.6329,0.6323,0.6275,0.6398,0.6363
141,0.6305,0.6336,0.6293,0.6409,0.6339
142,0.6333,0.6355,0.6301,0.6417,0.6365
143,0.6327,0.6328,0.6303,0.6402,0.6362
144,0.6344,0.6336,0.6279,0.6411,0.6371
145,0.6343,0.6324,0.6289,0.641,0.6364
146,0.6346,0.6318,0.628,0.6413,0.6349
147,0.6331,0.6316,0.6311,0.641,0.6352
148,0.6332,0.6344,0.6286,0.64,0.6402
149,0.634,0.6331,0.6298,0.6388,0.6368
150,0.6342,0.6338,0.6291,0.6423,0.6364
151,0.6345,0.6345,0.6296,0.6415,0.6356
152,0.6321,0.6323,0.6293,0.6411,0.6347
153,0.6335,0.6332,0.627,0.6408,0.637
154,0.6329,0.6337,0.6286,0.6411,0.6372
155,0.6321,0.6329,0.6272,0.6415,0.6382
156,0.6323,0.6318,0.6296,0.6408,0.6376
157,0.6316,0.6345,0.6314,0.6403,0.6375
158,0.6311,0.6335,0.6281,0.6396,0.6371
159,0.6333,0.6324,0.6303,0.6395,0.6404
160,0.6318,0.6318,0.6302,0.6397,0.6378
161,0.6318,0.631,0.6282,0.6408,0.6386
162,0.6315,0.6315,0.6282,0.6411,0.635
163,0.6318,0.6326,0.6312,0.6413,0.6394
164,0.6324,0.6323,0.6309,0.6411,0.6381
165,0.6329,0.6329,0.6298,0.6412,0.6392
166,0.6323,0.6317,0.6296,0.6409,0.6385
167,0.6314,0.6289,0.6303,0.6402,0.6374
168,0.6324,0.6307,0.6298,0.6389,0.6368
169,0.6323,0.6313,0.6288,0.642,0.6378
170,0.6343,0.6313,0.6273,0.6396,0.6364
171,0.6313,0.6319,0.6292,0.6396,0.6363
172,0.632,0.6315,0.6303,0.6398,0.6379
173,0.6336,0.631,0.6309,0.6401,0.6379
174,0.6313,0.6319,0.6316,0.6416,0.6383
175,0.6318,0.6318,0.6305,0.6408,0.6369
176,0.6319,0.6311,0.628,0.639,0.6356
177,0.6314,0.6313,0.6277,0.6404,0.6371
178,0.633,0.632,0.629,0.6404,0.638
179,0.633,0.6327,0.6303,0.6395,0.6394
180,0.6311,0.6298,0.6293,0.639,0.638
181,0.6325,0.6299,0.6299,0.6405,0.6385
182,0.6319,0.6316,0.6293,0.6405,0.6391
183,0.6328,0.6313,0.6289,0.6404,0.6376
184,0.6318,0.6303,0.6292,0.6401,0.6367
185,0.6335,0.6304,0.6281,0.6389,0.6368
186,0.6301,0.6313,0.6304,0.6405,0.6391
187,0.6318,0.6311,0.6293,0.6401,0.6366
188,0.6325,0.629,0.6269,0.6392,0.6376
189,0.632,0.632,0.6291,0.6411,0.6384
190,0.6311,0.6304,0.6288,0.6411,0.6395
191,0.6318,0.6317,0.6291,0.6399,0.6377
192,0.6332,0.6322,0.6309,0.6394,0.6406
193,0.632,0.6306,0.6286,0.64,0.6396
194,0.6316,0.6312,0.6291,0.6393,0.6374
195,0.6318,0.6309,0.6272,0.6372,0.6369
196,0.6319,0.6308,0.6288,0.639,0.6395
197,0.6314,0.6298,0.629,0.6398,0.6382
198,0.6311,0.6291,0.6278,0.6393,0.6367
199,0.6327,0.6293,0.6307,0.6382,0.6372
200,0.6302,0.6303,0.6289,0.6379,0.6359
